Vigencia_Inicio,Vigencia_Fin,Aeropuerto,Nom_Aeropuerto,Gpo_Consumo,Tipo,Tarifa,No.,Descripcion,Precio_Pemex,Descnto_Pemex,Almacenamiento_Origen,Almacenamiento_Base,Almacenamiento_Hidrante,Alm_Horario_Extraordinario,Expedio_Autotanque,Expendio _ispensador,Exp_Horario_extraordinario,Tarifa_Succion,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,COM_ALM_EXP_AUTOTANQUE,COM_ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE,ALM_EXP_AUTOTANQUE,ALM_EXP_HIDRANTE
30112021,06122021,BJX,EL BAJIO,GPO 10-C,10-C,Adicional,101,TURBOSINA, $14.45186 , $-   , $-   , $0.15970 , $0.01000 , $0.05210 , $0.24419 , $0.19764 , $0.07293 , $0.24419 , $14.85575 , $14.81920 , $14.98078 , $14.94423 , $0.40389 , $0.36734 , $0.52892 , $0.49237 
30112021,06122021,BJX,EL BAJIO,GPO 10-D,10-D,Adicional,101,TURBOSINA, $14.45186 , $-   , $-   , $0.15970 , $0.01000 , $0.05210 , $0.27335 , $0.22124 , $0.07293 , $0.27335 , $14.88491 , $14.84280 , $15.00994 , $14.96783 , $0.43305 , $0.39094 , $0.55808 , $0.51597 
30112021,06122021,BJX,EL BAJIO,GPO 01-A,1-A,Contractual,101,TURBOSINA, $14.45186 ,-$0.05920 , $-   , $0.15970 , $0.01000 , $0.05210 , $0.18223 , $0.14749 , $0.07293 , $0.18223 , $14.73459 , $14.70985 , $14.85962 , $14.83488 , $0.34193 , $0.31719 , $0.46696 , $0.44222 
30112021,06122021,BJX,EL BAJIO,GPO 01-B,1-B,Contractual,101,TURBOSINA, $14.45186 ,-$0.05920 , $-   , $0.15970 , $0.01000 , $0.05210 , $0.19317 , $0.15634 , $0.07293 , $0.19317 , $14.74553 , $14.71870 , $14.87056 , $14.84373 , $0.35287 , $0.32604 , $0.47790 , $0.45107 
30112021,06122021,BJX,EL BAJIO,GPO 01-C,1-C,Contractual,101,TURBOSINA, $14.45186 ,-$0.05920 , $-   , $0.15970 , $0.01000 , $0.05210 , $0.24419 , $0.19764 , $0.07293 , $0.24419 , $14.79655 , $14.76000 , $14.92158 , $14.88503 , $0.40389 , $0.36734 , $0.52892 , $0.49237 
30112021,06122021,BJX,EL BAJIO,GPO 01-D,1-D,Contractual,101,TURBOSINA, $14.45186 ,-$0.05920 , $-   , $0.15970 , $0.01000 , $0.05210 , $0.27335 , $0.22124 , $0.07293 , $0.27335 , $14.82571 , $14.78360 , $14.95074 , $14.90863 , $0.43305 , $0.39094 , $0.55808 , $0.51597 
30112021,06122021,BJX,EL BAJIO,GPO 10-A,10-A,Contractual,101,TURBOSINA, $14.45186 , $-   , $-   , $0.15970 , $0.01000 , $0.05210 , $0.18223 , $0.14749 , $0.07293 , $0.18223 , $14.79379 , $14.76905 , $14.91882 , $14.89408 , $0.34193 , $0.31719 , $0.46696 , $0.44222 
30112021,06122021,BJX,EL BAJIO,GPO 10-B,10-B,Contractual,101,TURBOSINA, $14.45186 , $-   , $-   , $0.15970 , $0.01000 , $0.05210 , $0.19317 , $0.15634 , $0.07293 , $0.19317 , $14.80473 , $14.77790 , $14.92976 , $14.90293 , $0.35287 , $0.32604 , $0.47790 , $0.45107 
30112021,06122021,BJX,EL BAJIO,GPO 10-C,10-C,Contractual,101,TURBOSINA, $14.45186 , $-   , $-   , $0.15970 , $0.01000 , $0.05210 , $0.24419 , $0.19764 , $0.07293 , $0.24419 , $14.85575 , $14.81920 , $14.98078 , $14.94423 , $0.40389 , $0.36734 , $0.52892 , $0.49237 
30112021,06122021,BJX,EL BAJIO,GPO 10-D,10-D,Contractual,101,TURBOSINA, $14.45186 , $-   , $-   , $0.15970 , $0.01000 , $0.05210 , $0.27335 , $0.22124 , $0.07293 , $0.27335 , $14.88491 , $14.84280 , $15.00994 , $14.96783 , $0.43305 , $0.39094 , $0.55808 , $0.51597 
30112021,06122021,BJX,EL BAJIO,GPO 02-A,2-A,Contractual,101,TURBOSINA, $14.45186 ,-$0.29600 , $-   , $0.15970 , $0.01000 , $0.05210 , $0.18223 , $0.14749 , $0.07293 , $0.18223 , $14.49779 , $14.47305 , $14.62282 , $14.59808 , $0.34193 , $0.31719 , $0.46696 , $0.44222 
30112021,06122021,BJX,EL BAJIO,GPO 02-B,2-B,Contractual,101,TURBOSINA, $14.45186 ,-$0.29600 , $-   , $0.15970 , $0.01000 , $0.05210 , $0.19317 , $0.15634 , $0.07293 , $0.19317 , $14.50873 , $14.48190 , $14.63376 , $14.60693 , $0.35287 , $0.32604 , $0.47790 , $0.45107 
